=============================
Job ID:       599228
Array Task:   12
Node:         evc20
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=3/i=3 --discrete
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6902 reward_min=-0.9808 reward_max=-0.3664
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6901 reward_min=-0.9809 reward_max=-0.3669
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6900 reward_min=-0.9806 reward_max=-0.3673
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7900 reward_min=-1.3502 reward_max=-0.3259
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7235 reward_global_std=0.1697
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6586 reward_min=-1.0450 reward_max=-0.4049
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6585 reward_min=-1.0444 reward_max=-0.4048
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6585 reward_min=-1.0434 reward_max=-0.4043
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7923 reward_min=-1.3724 reward_max=-0.3867
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7065 reward_global_std=0.1548
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6654 reward_min=-1.0889 reward_max=-0.4369
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6651 reward_min=-1.0890 reward_max=-0.4379
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6651 reward_min=-1.0893 reward_max=-0.4385
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7905 reward_min=-1.3200 reward_max=-0.3682
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7090 reward_global_std=0.1533
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6727 reward_min=-1.1203 reward_max=-0.3856
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6726 reward_min=-1.1206 reward_max=-0.3847
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6729 reward_min=-1.1209 reward_max=-0.3835
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7967 reward_min=-1.3691 reward_max=-0.3816
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7174 reward_global_std=0.1650
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6686 reward_min=-0.9769 reward_max=-0.3671
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6686 reward_min=-0.9762 reward_max=-0.3675
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6686 reward_min=-0.9753 reward_max=-0.3680
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7745 reward_min=-1.3757 reward_max=-0.3099
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7062 reward_global_std=0.1724
[HetNet] iter=320/1500 steps=81920/384000 | pi_s=-0.0001 pi_i=0.0000 v=147.7547 ent_s=1.605 ent_i=1.597 ret=-56.163 ev_s_post=0.059 ev_i_post=0.060 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6666 reward_min=-1.0255 reward_max=-0.3883
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6668 reward_min=-1.0253 reward_max=-0.3886
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6668 reward_min=-1.0254 reward_max=-0.3896
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7799 reward_min=-1.2617 reward_max=-0.3783
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7062 reward_global_std=0.1590
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6934 reward_min=-1.1281 reward_max=-0.4551
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6936 reward_min=-1.1280 reward_max=-0.4559
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6935 reward_min=-1.1277 reward_max=-0.4557
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8127 reward_min=-1.3887 reward_max=-0.2946
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7379 reward_global_std=0.1709
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6715 reward_min=-1.0853 reward_max=-0.2824
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6714 reward_min=-1.0856 reward_max=-0.2829
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6713 reward_min=-1.0859 reward_max=-0.2834
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7816 reward_min=-1.3320 reward_max=-0.3257
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7099 reward_global_std=0.1713
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6752 reward_min=-1.0038 reward_max=-0.3776
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6751 reward_min=-1.0047 reward_max=-0.3773
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6750 reward_min=-1.0058 reward_max=-0.3765
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7814 reward_min=-1.4191 reward_max=-0.3631
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7106 reward_global_std=0.1629
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6745 reward_min=-1.0584 reward_max=-0.3767
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6744 reward_min=-1.0573 reward_max=-0.3749
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6744 reward_min=-1.0564 reward_max=-0.3727
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8108 reward_min=-1.3356 reward_max=-0.3493
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7264 reward_global_std=0.1686
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6750 reward_min=-1.1054 reward_max=-0.3530
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6749 reward_min=-1.1062 reward_max=-0.3546
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6748 reward_min=-1.1077 reward_max=-0.3560
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7949 reward_min=-1.5096 reward_max=-0.3405
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7129 reward_global_std=0.1673
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6727 reward_min=-1.0088 reward_max=-0.4040
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6729 reward_min=-1.0072 reward_max=-0.4040
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6726 reward_min=-1.0050 reward_max=-0.4043
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8044 reward_min=-1.3533 reward_max=-0.2986
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7207 reward_global_std=0.1712
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6843 reward_min=-0.9969 reward_max=-0.3568
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6845 reward_min=-0.9951 reward_max=-0.3568
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6843 reward_min=-0.9935 reward_max=-0.3561
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8060 reward_min=-1.3516 reward_max=-0.2871
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7305 reward_global_std=0.1789
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6885 reward_min=-1.0603 reward_max=-0.3768
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6887 reward_min=-1.0603 reward_max=-0.3773
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6886 reward_min=-1.0601 reward_max=-0.3776
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8038 reward_min=-1.4670 reward_max=-0.3921
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7314 reward_global_std=0.1759
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6822 reward_min=-1.0691 reward_max=-0.3836
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6821 reward_min=-1.0689 reward_max=-0.3824
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0683 reward_max=-0.3809
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8141 reward_min=-1.3726 reward_max=-0.3472
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7299 reward_global_std=0.1658
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6736 reward_min=-1.1438 reward_max=-0.3819
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6735 reward_min=-1.1418 reward_max=-0.3827
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6737 reward_min=-1.1389 reward_max=-0.3832
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7950 reward_min=-1.3820 reward_max=-0.2754
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7130 reward_global_std=0.1656
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6848 reward_min=-1.0204 reward_max=-0.2694
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0196 reward_max=-0.2704
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0185 reward_max=-0.2704
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8272 reward_min=-1.3402 reward_max=-0.3279
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7428 reward_global_std=0.1773
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6628 reward_min=-1.0450 reward_max=-0.3483
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6628 reward_min=-1.0444 reward_max=-0.3483
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6627 reward_min=-1.0439 reward_max=-0.3473
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7883 reward_min=-1.2881 reward_max=-0.2836
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7085 reward_global_std=0.1693
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6849 reward_min=-0.9941 reward_max=-0.3879
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6848 reward_min=-0.9940 reward_max=-0.3879
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6848 reward_min=-0.9940 reward_max=-0.3872
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8101 reward_min=-1.3864 reward_max=-0.3721
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7298 reward_global_std=0.1728
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6806 reward_min=-1.0782 reward_max=-0.3914
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6806 reward_min=-1.0784 reward_max=-0.3919
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0793 reward_max=-0.3912
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8069 reward_min=-1.3312 reward_max=-0.4190
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7276 reward_global_std=0.1741
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6605 reward_min=-1.0268 reward_max=-0.3975
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6606 reward_min=-1.0284 reward_max=-0.3966
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6606 reward_min=-1.0293 reward_max=-0.3947
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7526 reward_min=-1.4688 reward_max=-0.3839
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6896 reward_global_std=0.1485
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6714 reward_min=-1.0012 reward_max=-0.3780
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6714 reward_min=-1.0008 reward_max=-0.3770
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6715 reward_min=-1.0003 reward_max=-0.3759
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7946 reward_min=-1.3035 reward_max=-0.3915
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7178 reward_global_std=0.1646
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6607 reward_min=-0.9889 reward_max=-0.3824
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6607 reward_min=-0.9899 reward_max=-0.3813
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6607 reward_min=-0.9912 reward_max=-0.3797
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7753 reward_min=-1.3250 reward_max=-0.4020
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7042 reward_global_std=0.1579
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6663 reward_min=-0.9884 reward_max=-0.4083
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6663 reward_min=-0.9880 reward_max=-0.4087
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6662 reward_min=-0.9885 reward_max=-0.4090
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7659 reward_min=-1.3298 reward_max=-0.3145
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7031 reward_global_std=0.1506
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6822 reward_min=-1.0773 reward_max=-0.3635
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6824 reward_min=-1.0761 reward_max=-0.3648
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0744 reward_max=-0.3665
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7960 reward_min=-1.3314 reward_max=-0.3834
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7270 reward_global_std=0.1630
[HetNet] iter=340/1500 steps=87040/384000 | pi_s=-0.0000 pi_i=-0.0000 v=144.6599 ent_s=1.605 ent_i=1.588 ret=-57.820 ev_s_post=0.061 ev_i_post=0.060 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6842 reward_min=-0.9823 reward_max=-0.3998
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6842 reward_min=-0.9824 reward_max=-0.3992
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6839 reward_min=-0.9821 reward_max=-0.3987
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7787 reward_min=-1.3542 reward_max=-0.3384
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7160 reward_global_std=0.1671
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6789 reward_min=-1.1017 reward_max=-0.4014
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6791 reward_min=-1.1001 reward_max=-0.4514
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6789 reward_min=-1.0990 reward_max=-0.4022
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7901 reward_min=-1.3413 reward_max=-0.3618
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7220 reward_global_std=0.1656
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6600 reward_min=-0.9493 reward_max=-0.3499
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6598 reward_min=-0.9489 reward_max=-0.3503
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6599 reward_min=-0.9482 reward_max=-0.3499
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7538 reward_min=-1.2689 reward_max=1.0380
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6876 reward_global_std=0.1807
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6745 reward_min=-1.0848 reward_max=-0.3882
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6744 reward_min=-1.0855 reward_max=-0.3869
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6743 reward_min=-1.0861 reward_max=-0.3852
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7744 reward_min=-1.3690 reward_max=-0.3681
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7102 reward_global_std=0.1680
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6804 reward_min=-1.0272 reward_max=-0.2673
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0271 reward_max=-0.2673
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6801 reward_min=-1.0271 reward_max=-0.2670
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7972 reward_min=-1.3474 reward_max=-0.3101
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7224 reward_global_std=0.1713
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6897 reward_min=-1.0077 reward_max=-0.4040
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6897 reward_min=-1.0075 reward_max=-0.4026
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6898 reward_min=-1.0073 reward_max=-0.4008
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8161 reward_min=-1.3819 reward_max=-0.3978
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7403 reward_global_std=0.1797
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6708 reward_min=-1.0603 reward_max=-0.3339
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6707 reward_min=-1.0591 reward_max=-0.3351
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6706 reward_min=-1.0577 reward_max=-0.3367
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7973 reward_min=-1.3309 reward_max=-0.4042
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7163 reward_global_std=0.1529
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6947 reward_min=-0.9894 reward_max=-0.4056
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6946 reward_min=-0.9905 reward_max=-0.4044
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6945 reward_min=-0.9919 reward_max=-0.4040
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7985 reward_min=-1.4194 reward_max=-0.3575
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7300 reward_global_std=0.1686
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6836 reward_min=-1.0360 reward_max=-0.4117
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6836 reward_min=-1.0357 reward_max=-0.4116
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6835 reward_min=-1.0351 reward_max=-0.4114
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7973 reward_min=-1.2748 reward_max=-0.4031
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7244 reward_global_std=0.1688
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6781 reward_min=-1.0852 reward_max=-0.3921
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0866 reward_max=-0.3905
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0884 reward_max=-0.3887
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7839 reward_min=-1.4190 reward_max=-0.2962
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7138 reward_global_std=0.1567
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0045 reward_max=-0.4095
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6819 reward_min=-1.0051 reward_max=-0.4084
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6820 reward_min=-1.0060 reward_max=-0.4074
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8005 reward_min=-1.3702 reward_max=-0.3602
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7238 reward_global_std=0.1619
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6767 reward_min=-1.0261 reward_max=-0.3872
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6767 reward_min=-1.0249 reward_max=-0.3880
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6768 reward_min=-1.0230 reward_max=-0.3880
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8138 reward_min=-1.3799 reward_max=-0.3291
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7297 reward_global_std=0.1719
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6848 reward_min=-1.0829 reward_max=-0.3506
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6847 reward_min=-1.0817 reward_max=-0.3514
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6846 reward_min=-1.0802 reward_max=-0.3529
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8195 reward_min=-1.4182 reward_max=-0.3705
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7372 reward_global_std=0.1790
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6843 reward_min=-0.9944 reward_max=-0.4297
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6843 reward_min=-0.9936 reward_max=-0.4301
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6843 reward_min=-0.9922 reward_max=-0.4302
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8155 reward_min=-1.4067 reward_max=-0.2979
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7374 reward_global_std=0.1743
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6662 reward_min=-1.0124 reward_max=-0.3911
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6659 reward_min=-1.0134 reward_max=-0.3923
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6659 reward_min=-1.0144 reward_max=-0.3933
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8220 reward_min=-1.3814 reward_max=-0.4335
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7252 reward_global_std=0.1706
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0725 reward_max=-0.4268
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0719 reward_max=-0.4256
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6804 reward_min=-1.0712 reward_max=-0.4241
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7950 reward_min=-1.4063 reward_max=-0.4098
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7204 reward_global_std=0.1725
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6871 reward_min=-0.9415 reward_max=-0.3574
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6871 reward_min=-0.9404 reward_max=-0.3573
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6870 reward_min=-0.9389 reward_max=-0.3564
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7892 reward_min=-1.3622 reward_max=-0.3611
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7250 reward_global_std=0.1713
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6782 reward_min=-1.0422 reward_max=-0.3277
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0411 reward_max=-0.3276
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6780 reward_min=-1.0390 reward_max=-0.3279
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7981 reward_min=-1.3312 reward_max=-0.3269
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7220 reward_global_std=0.1695
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6832 reward_min=-1.0190 reward_max=-0.3885
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6831 reward_min=-1.0185 reward_max=-0.3877
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6831 reward_min=-1.0166 reward_max=-0.3872
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7766 reward_min=-1.3377 reward_max=-0.3652
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7133 reward_global_std=0.1721
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6754 reward_min=-0.9915 reward_max=-0.3487
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6754 reward_min=-0.9905 reward_max=-0.3487
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6753 reward_min=-0.9895 reward_max=-0.3493
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7793 reward_min=-1.3251 reward_max=-0.3664
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7110 reward_global_std=0.1600
[HetNet] iter=360/1500 steps=92160/384000 | pi_s=-0.0001 pi_i=0.0001 v=147.9048 ent_s=1.606 ent_i=1.605 ret=-56.550 ev_s_post=0.061 ev_i_post=0.060 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6763 reward_min=-0.9833 reward_max=-0.3438
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6763 reward_min=-0.9837 reward_max=-0.3448
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6762 reward_min=-0.9851 reward_max=-0.3451
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7781 reward_min=-1.3587 reward_max=-0.3213
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7089 reward_global_std=0.1658
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6662 reward_min=-1.0807 reward_max=-0.3092
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6662 reward_min=-1.0811 reward_max=-0.3090
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6661 reward_min=-1.0819 reward_max=-0.3085
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7786 reward_min=-1.5262 reward_max=-0.3932
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7065 reward_global_std=0.1688
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6787 reward_min=-1.0098 reward_max=-0.3904
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6787 reward_min=-1.0078 reward_max=-0.3905
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6785 reward_min=-1.0063 reward_max=-0.3899
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8093 reward_min=-1.3201 reward_max=-0.3606
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7261 reward_global_std=0.1685
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6638 reward_min=-0.9967 reward_max=-0.3499
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6639 reward_min=-0.9962 reward_max=-0.3508
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6637 reward_min=-0.9953 reward_max=-0.3506
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7995 reward_min=-1.4119 reward_max=-0.4299
